artist,title,artist_list,total_weeks,peak_rank,debut_rank,peak_week,rise_rate
Laufey,Christmas Magic,['Laufey'],4,56.0,84.0,3,9.333333333333334
Lauren Alaina,Road Less Traveled,['Lauren Alaina'],12,67.0,86.0,10,1.9
Lauren Daigle,The Christmas Song,['Lauren Daigle'],2,55.0,90.0,1,35.0
Lauren Daigle,You Say,['Lauren Daigle'],43,29.0,53.0,35,0.6857142857142857
Lauren Spencer Smith,Fingers Crossed,['Lauren Spencer Smith'],19,19.0,69.0,1,50.0
Lauren Spencer Smith,Last Christmas,['Lauren Spencer Smith'],5,72.0,91.0,4,4.75
Lauv,I Like Me Better,['Lauv'],41,27.0,96.0,28,2.4642857142857144
"Layton Greene, Lil Baby, City Girls & PnB Rock",Leave Em Alone,"['Layton Greene', 'Lil Baby', 'City Girls', 'PnB Rock']",15,60.0,91.0,5,6.2
Lee Brice,One Of Them Girls,['Lee Brice'],26,17.0,90.0,19,3.8421052631578947
Lee Brice,Rumor,['Lee Brice'],20,25.0,88.0,14,4.5
Lee Brice,That Don't Sound Like You,['Lee Brice'],11,64.0,98.0,6,5.666666666666667
Lewis Capaldi,Someone You Loved,['Lewis Capaldi'],54,1.0,85.0,23,3.652173913043478
Liam Payne Featuring Quavo,Strip That Down,"['Liam Payne', 'Quavo']",28,10.0,42.0,14,2.2857142857142856
Libianca,People,['Libianca'],8,80.0,91.0,6,1.8333333333333333
Lil Baby,On Me,['Lil Baby'],26,15.0,30.0,20,0.75
Lil Baby,Woah,['Lil Baby'],21,15.0,19.0,16,0.25
Lil Baby & 42 Dugg,We Paid,"['Lil Baby', '42 Dugg']",22,10.0,61.0,8,6.375
Lil Baby & Drake,Yes Indeed,"['Lil Baby', 'Drake']",29,6.0,49.0,1,43.0
Lil Baby & Gunna,Drip Too Hard,"['Lil Baby', 'Gunna']",35,4.0,28.0,3,8.0
Lil Baby & Lil Durk,Voice Of The Heroes,"['Lil Baby', 'Lil Durk']",3,21.0,81.0,1,60.0
Lil Baby Featuring Future,Out The Mud,"['Lil Baby', 'Future']",3,70.0,72.0,1,2.0
Lil Baby Featuring Gunna & Lil Uzi Vert,Life Goes On,"['Lil Baby', 'Gunna', 'Lil Uzi Vert']",6,74.0,80.0,1,6.0
Lil Dicky Featuring Chris Brown,Freaky Friday,"['Lil Dicky', 'Chris Brown']",20,8.0,9.0,1,1.0
Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,"['Lil Dicky', 'Fetty Wap', 'Rich Homie Quan']",12,73.0,81.0,1,8.0
Lil Durk,Ahhh Ha,['Lil Durk'],11,18.0,42.0,3,8.0
Lil Durk Featuring Gunna,What Happened To Virgil,"['Lil Durk', 'Gunna']",20,22.0,24.0,1,2.0
Lil Mabu,Mathematical Disrespect,['Lil Mabu'],4,47.0,90.0,1,43.0
Lil Mosey,Blueberry Faygo,['Lil Mosey'],33,8.0,62.0,21,2.5714285714285716
Lil Nas X,Panini,['Lil Nas X'],32,5.0,16.0,12,0.9166666666666666
Lil Nas X,Thats What I Want,['Lil Nas X'],45,8.0,10.0,26,0.07692307692307693
Lil Nas X & Jack Harlow,Industry Baby,"['Lil Nas X', 'Jack Harlow']",42,1.0,2.0,11,0.09090909090909091
Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,"['Lil Nas X', 'Billy Ray Cyrus']",45,1.0,83.0,4,20.5
Lil Peep & XXXTENTACION,Falling Down,"['Lil Peep', 'XXXTENTACION']",11,13.0,47.0,1,34.0
Lil Peep & iLoveMakonnen Featuring Fall Out Boy,I've Been Waiting,"['Lil Peep', 'iLoveMakonnen', 'Fall Out Boy']",9,62.0,96.0,5,6.8
Lil Pump,Gucci Gang,['Lil Pump'],23,3.0,81.0,9,8.666666666666666
Lil Shordie Scott,Rocking A Cardigan In Atlanta,['Lil Shordie Scott'],3,77.0,100.0,1,23.0
Lil Skies,Lust,['Lil Skies'],4,87.0,91.0,2,2.0
Lil Skies Featuring Landon Cube,Nowadays,"['Lil Skies', 'Landon Cube']",13,55.0,85.0,1,30.0
Lil Skies Featuring Landon Cube,Red Roses,"['Lil Skies', 'Landon Cube']",20,69.0,98.0,1,29.0
Lil Skies Featuring Yung Pinch,I Know You,"['Lil Skies', 'Yung Pinch']",3,79.0,90.0,2,5.5
Lil Tecca,500lbs,['Lil Tecca'],20,51.0,60.0,7,1.2857142857142858
Lil Tecca,Dark Thoughts,['Lil Tecca'],17,28.0,45.0,2,8.5
Lil Tecca,Did It Again,['Lil Tecca'],7,64.0,100.0,2,18.0
Lil Tecca,Ran$om,['Lil Tecca'],31,4.0,93.0,13,6.846153846153846
Lil Uzi Vert,Dark Queen,['Lil Uzi Vert'],2,91.0,92.0,1,1.0
Lil Uzi Vert,Just Wanna Rock,['Lil Uzi Vert'],32,10.0,86.0,15,5.066666666666666
Lil Uzi Vert,Money Longer,['Lil Uzi Vert'],22,54.0,92.0,13,2.923076923076923
Lil Uzi Vert,New Patek,['Lil Uzi Vert'],7,24.0,38.0,1,14.0
Lil Uzi Vert,Watch This (ARIZONATEARS Pluggnb Remix),['Lil Uzi Vert'],6,56.0,62.0,1,6.0
Lil Uzi Vert,XO TOUR Llif3,['Lil Uzi Vert'],34,7.0,49.0,10,4.2
Lil Uzi Vert,You Was Right,['Lil Uzi Vert'],28,40.0,89.0,25,1.96
Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,"['Lil Uzi Vert', 'Nicki Minaj']",22,24.0,39.0,15,1.0
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",Sucker For Pain,"['Lil Wayne', 'Wiz Khalifa', 'Imagine Dragons', 'Logic', 'Ty Dolla $ign', 'X Ambassadors']",22,15.0,32.0,6,2.8333333333333335
Lil Xan,Betrayed,['Lil Xan'],19,64.0,93.0,11,2.6363636363636362
Lil Yachty,Poland,['Lil Yachty'],3,40.0,65.0,1,25.0
"Lil Yachty, Drake & DaBaby",Oprah's Bank Account,"['Lil Yachty', 'Drake', 'DaBaby']",6,55.0,89.0,1,34.0
Little Big Town,Better Man,['Little Big Town'],20,34.0,54.0,13,1.5384615384615385
Lizzo,Good As Hell,['Lizzo'],30,3.0,52.0,12,4.083333333333333
Lizzo,Someday At Christmas,['Lizzo'],5,59.0,96.0,3,12.333333333333334
Lizzo,Truth Hurts,['Lizzo'],42,1.0,50.0,16,3.0625
Lizzy McAlpine,Ceilings,['Lizzy McAlpine'],13,54.0,75.0,3,7.0
LoCash,I Know Somebody,['LoCash'],11,52.0,97.0,6,7.5
LoCash,I Love This Life,['LoCash'],11,56.0,73.0,5,3.4
LoCash,One Big Country Song,['LoCash'],11,50.0,82.0,7,4.571428571428571
Logic & Marshmello,Everyday,"['Logic', 'Marshmello']",13,29.0,43.0,1,14.0
Logic Featuring Alessia Cara & Khalid,1-800-273-8255,"['Logic', 'Alessia Cara', 'Khalid']",41,3.0,61.0,19,3.0526315789473686
Lola Young,Messy,['Lola Young'],32,14.0,90.0,8,9.5
Lord Huron,The Night We Met,['Lord Huron'],4,84.0,99.0,1,15.0
Lorde,Green Light,['Lorde'],9,19.0,100.0,1,81.0
"Los Legendarios, Wisin & Jhay Cortez",Fiel,"['Los Legendarios', 'Wisin', 'Jhay Cortez']",9,62.0,93.0,1,31.0
Loud Luxury Featuring Brando,Body,"['Loud Luxury', 'Brando']",8,80.0,87.0,1,7.0
Loza Alexander,Lets Go Brandon,['Loza Alexander'],3,38.0,45.0,1,7.0
Lucky Daye,Over,['Lucky Daye'],7,77.0,92.0,1,15.0
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,"['Luis Fonsi', 'Daddy Yankee', 'Justin Bieber']",51,1.0,88.0,16,5.4375
Luis R Conriquez x Neton Vega,Si No Quieres No,"['Luis R Conriquez', 'Neton Vega']",20,53.0,86.0,4,8.25
Lukas Graham,7 Years,['Lukas Graham'],36,2.0,96.0,9,10.444444444444445
Lukas Graham,Love Someone,['Lukas Graham'],10,70.0,82.0,6,2.0
Lukas Graham,Mama Said,['Lukas Graham'],11,36.0,81.0,6,7.5
Luke Bryan,Country Song Came On,['Luke Bryan'],3,93.0,98.0,1,5.0
Luke Bryan,Down To One,['Luke Bryan'],20,36.0,91.0,9,6.111111111111111
Luke Bryan,Fast,['Luke Bryan'],13,58.0,81.0,10,2.3
Luke Bryan,"Huntin', Fishin' And Lovin' Every Day",['Luke Bryan'],20,37.0,92.0,11,5.0
Luke Bryan,Knockin' Boots,['Luke Bryan'],22,31.0,94.0,18,3.5
Luke Bryan,Light It Up,['Luke Bryan'],18,57.0,76.0,14,1.3571428571428572
Luke Bryan,"Love You, Miss You, Mean It",['Luke Bryan'],10,39.0,99.0,8,7.5
Luke Bryan,Most People Are Good,['Luke Bryan'],18,43.0,94.0,11,4.636363636363637
Luke Bryan,Move,['Luke Bryan'],14,50.0,100.0,10,5.0
Luke Bryan,One Margarita,['Luke Bryan'],20,19.0,87.0,9,7.555555555555555
Luke Bryan,"Sunrise, Sunburn, Sunset",['Luke Bryan'],16,35.0,86.0,8,6.375
Luke Bryan,Waves,['Luke Bryan'],17,24.0,90.0,9,7.333333333333333
Luke Bryan,What Makes You Country,['Luke Bryan'],11,54.0,76.0,7,3.142857142857143
Luke Bryan Featuring Karen Fairchild,Home Alone Tonight,"['Luke Bryan', 'Karen Fairchild']",16,38.0,61.0,6,3.8333333333333335
Luke Combs,5 Leaf Clover,['Luke Combs'],7,33.0,45.0,1,12.0
Luke Combs,Ain't No Love In Oklahoma,['Luke Combs'],27,13.0,23.0,9,1.1111111111111112
Luke Combs,Back In The Saddle,['Luke Combs'],19,22.0,38.0,13,1.2307692307692308
Luke Combs,Beer Never Broke My Heart,['Luke Combs'],21,21.0,68.0,12,3.9166666666666665
Luke Combs,Fast Car,['Luke Combs'],56,2.0,44.0,12,3.5
Luke Combs,"Going, Going, Gone",['Luke Combs'],22,23.0,99.0,12,6.333333333333333
Luke Combs,Hurricane,['Luke Combs'],22,31.0,96.0,12,5.416666666666667
Luke Combs,Lovin' On You,['Luke Combs'],20,23.0,93.0,10,7.0
Luke Combs,One Number Away,['Luke Combs'],20,34.0,84.0,10,5.0
Luke Combs,She Got The Best Of Me,['Luke Combs'],23,31.0,95.0,20,3.2
Luke Combs,The Man He Sees In Me,['Luke Combs'],3,39.0,58.0,1,19.0
Luke Combs,When It Rains It Pours,['Luke Combs'],20,33.0,85.0,11,4.7272727272727275
Luke Combs,Where The Wild Things Are,['Luke Combs'],22,26.0,84.0,11,5.2727272727272725
Luke Combs Featuring Eric Church,Does To Me,"['Luke Combs', 'Eric Church']",19,20.0,86.0,10,6.6
"Lunay, Daddy Yankee & Bad Bunny",Soltera,"['Lunay', 'Daddy Yankee', 'Bad Bunny']",17,66.0,73.0,13,0.5384615384615384
MAX Featuring Gnash,Lights Down Low,"['MAX', 'Gnash']",27,20.0,95.0,18,4.166666666666667
Mabel,Don't Call Me Up,['Mabel'],10,66.0,97.0,7,4.428571428571429
Mac DeMarco,Heart To Heart,['Mac DeMarco'],4,83.0,98.0,1,15.0
Machine Gun Kelly & Bring Me the Horizon,Maybe,"['Machine Gun Kelly', 'Bring Me the Horizon']",2,68.0,91.0,1,23.0
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Downtown,"['Macklemore', 'Ryan Lewis', 'Eric Nally', 'Melle Mel', 'Kool Moe Dee', 'Grandmaster Caz']",4,70.0,89.0,3,6.333333333333333
Maddie & Tae,Die From A Broken Heart,"['Maddie', 'Tae']",25,22.0,80.0,17,3.411764705882353
Major Lazer Featuring Nyla & Fuse ODG,Light It Up,"['Major Lazer', 'Nyla', 'Fuse ODG']",20,73.0,98.0,11,2.272727272727273
Maluma,Felices Los 4,['Maluma'],20,48.0,93.0,9,5.0
Maluma & The Weeknd,Hawai,"['Maluma', 'The Weeknd']",21,12.0,79.0,11,6.090909090909091
Marc E. Bassy Featuring G-Eazy,You & Me,"['Marc E. Bassy', 'G-Eazy']",16,58.0,91.0,8,4.125
Maren Morris,My Church,['Maren Morris'],20,50.0,91.0,9,4.555555555555555
Marian Hill,Down,['Marian Hill'],17,21.0,99.0,6,13.0
Mark Ronson Featuring Miley Cyrus,Nothing Breaks Like A Heart,"['Mark Ronson', 'Miley Cyrus']",13,43.0,67.0,5,4.8
Maroon 5,Memories,['Maroon 5'],41,2.0,22.0,14,1.4285714285714286
Maroon 5,Nobody's Love,['Maroon 5'],10,41.0,46.0,2,2.5
Maroon 5 Featuring Cardi B,Girls Like You,"['Maroon 5', 'Cardi B']",52,1.0,94.0,16,5.8125
Maroon 5 Featuring Future,Cold,"['Maroon 5', 'Future']",20,16.0,42.0,4,6.5
Maroon 5 Featuring Kendrick Lamar,Don't Wanna Know,"['Maroon 5', 'Kendrick Lamar']",27,6.0,56.0,16,3.125
Maroon 5 Featuring Megan Thee Stallion,Beautiful Mistakes,"['Maroon 5', 'Megan Thee Stallion']",25,13.0,54.0,15,2.7333333333333334
Maroon 5 Featuring SZA,What Lovers Do,"['Maroon 5', 'SZA']",21,9.0,73.0,10,6.4
Marshmello & Anne-Marie,Friends,"['Marshmello', 'Anne-Marie']",29,11.0,72.0,14,4.357142857142857
Marshmello & Bastille,Happier,"['Marshmello', 'Bastille']",52,2.0,63.0,24,2.5416666666666665
Marshmello & Kane Brown,Miles On It,"['Marshmello', 'Kane Brown']",29,15.0,37.0,18,1.2222222222222223
Marshmello & Kane Brown,One Thing Right,"['Marshmello', 'Kane Brown']",23,36.0,57.0,17,1.2352941176470589
Marshmello & Khalid,Numb,"['Marshmello', 'Khalid']",16,40.0,83.0,9,4.777777777777778
Marshmello Featuring Chvrches,Here With Me,"['Marshmello', 'Chvrches']",16,31.0,75.0,7,6.285714285714286
Marshmello Featuring Khalid,Silence,"['Marshmello', 'Khalid']",22,30.0,42.0,17,0.7058823529411765
Marshmello X Jonas Brothers,Leave Before You Love Me,"['Marshmello', 'Jonas Brothers']",22,19.0,85.0,11,6.0
Martin Garrix & Bebe Rexha,In The Name Of Love,"['Martin Garrix', 'Bebe Rexha']",23,24.0,93.0,14,4.928571428571429
Masked Wolf,Astronaut In The Ocean,['Masked Wolf'],28,6.0,68.0,12,5.166666666666667
Matt Stell,Prayed For You,['Matt Stell'],20,36.0,99.0,9,7.0
Meek Mill Featuring Roddy Ricch,Letter To Nipsey,"['Meek Mill', 'Roddy Ricch']",2,73.0,80.0,1,7.0
Megan Thee Stallion,Big Ole Freak,['Megan Thee Stallion'],12,65.0,99.0,4,8.5
Megan Thee Stallion Featuring Beyonce,Savage,"['Megan Thee Stallion', 'Beyonce']",28,1.0,98.0,9,10.777777777777779
Megan Thee Stallion Featuring DaBaby,Cash Shit,"['Megan Thee Stallion', 'DaBaby']",20,36.0,98.0,10,6.2
Megan Thee Stallion Featuring Yuki Chiba,Mamushi,"['Megan Thee Stallion', 'Yuki Chiba']",20,36.0,68.0,3,10.666666666666666
Meghan Trainor,Made You Look,['Meghan Trainor'],21,11.0,95.0,14,6.0
Meghan Trainor,Me Too,['Meghan Trainor'],20,13.0,39.0,10,2.6
Meghan Trainor,No,['Meghan Trainor'],20,3.0,11.0,3,2.6666666666666665
Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,"['Meghan Trainor', 'John Legend']",16,9.0,10.0,4,0.25
Metallica,Master Of Puppets,['Metallica'],3,35.0,40.0,1,5.0
Metro Boomin & Coi Leray,Self Love,"['Metro Boomin', 'Coi Leray']",4,54.0,62.0,1,8.0
"Metro Boomin, Quavo, Breskii & YKNIECE",Take Me Thru Dere,"['Metro Boomin', 'Quavo', 'Breskii', 'YKNIECE']",12,69.0,99.0,5,6.0
"Metro Boomin, The Weeknd & 21 Savage",Creepin',"['Metro Boomin', 'The Weeknd', '21 Savage']",47,3.0,5.0,8,0.25
Michael Ray,Think A Little Less,['Michael Ray'],16,54.0,90.0,11,3.272727272727273
Michael Ray,Whiskey And Rain,['Michael Ray'],20,37.0,97.0,13,4.615384615384615
Midland,Drinkin' Problem,['Midland'],20,45.0,97.0,15,3.466666666666667
Migos,Stir Fry,['Migos'],21,8.0,94.0,6,14.333333333333334
Migos,Straightenin,['Migos'],14,23.0,38.0,4,3.75
Migos,T-Shirt,['Migos'],25,19.0,43.0,2,12.0
Migos Featuring Drake,Walk It Talk It,"['Migos', 'Drake']",22,10.0,18.0,9,0.8888888888888888
Migos Featuring Lil Uzi Vert,Bad And Boujee,"['Migos', 'Lil Uzi Vert']",36,1.0,76.0,7,10.714285714285714
"Migos, Nicki Minaj & Cardi B",MotorSport,"['Migos', 'Nicki Minaj', 'Cardi B']",21,6.0,14.0,6,1.3333333333333333
Miguel,Sure Thing,['Miguel'],29,11.0,49.0,22,1.7272727272727273
Mike Posner,I Took A Pill In Ibiza,['Mike Posner'],37,4.0,79.0,15,5.0
Miley Cyrus,Malibu,['Miley Cyrus'],15,10.0,64.0,1,54.0
Miranda Lambert,Bluebird,['Miranda Lambert'],20,26.0,81.0,15,3.6666666666666665
Miranda Lambert,If I Was A Cowboy,['Miranda Lambert'],20,53.0,82.0,11,2.6363636363636362
Miranda Lambert,Settling Down,['Miranda Lambert'],20,41.0,90.0,14,3.5
Mitchell Tenpenny,Truth About You,['Mitchell Tenpenny'],13,54.0,85.0,7,4.428571428571429
Mitski,My Love Mine All Mine,['Mitski'],20,26.0,76.0,4,12.5
Money Man Featuring Lil Baby,24,"['Money Man', 'Lil Baby']",14,49.0,71.0,8,2.75
Moneybagg Yo,Said Sum,['Moneybagg Yo'],22,17.0,63.0,16,2.875
Moneybagg Yo,Time Today,['Moneybagg Yo'],20,31.0,37.0,11,0.5454545454545454
Moneybagg Yo,Wockesha,['Moneybagg Yo'],28,20.0,59.0,22,1.7727272727272727
Moneybagg Yo Featuring BIG30,Go!,"['Moneybagg Yo', 'BIG30']",4,52.0,96.0,1,44.0
Moneybagg Yo Featuring Lil Baby,U Played,"['Moneybagg Yo', 'Lil Baby']",5,53.0,60.0,1,7.0
Mooski,Track Star,['Mooski'],20,31.0,99.0,10,6.8
Morgan Evans,Kiss Somebody,['Morgan Evans'],8,53.0,76.0,6,3.8333333333333335
Morgan Wallen,Chasin' You,['Morgan Wallen'],36,16.0,82.0,18,3.6666666666666665
Morgan Wallen,Dark Til Daylight,['Morgan Wallen'],8,49.0,50.0,1,1.0
Morgan Wallen,Just In Case,['Morgan Wallen'],29,2.0,4.0,8,0.25
Morgan Wallen,Last Night,['Morgan Wallen'],60,1.0,27.0,5,5.2
Morgan Wallen,One Thing At A Time,['Morgan Wallen'],30,10.0,37.0,13,2.076923076923077
Morgan Wallen,Smile,['Morgan Wallen'],21,4.0,27.0,1,23.0
Morgan Wallen,Superman,['Morgan Wallen'],17,8.0,16.0,1,8.0
Morgan Wallen,Thinkin' Bout Me,['Morgan Wallen'],55,7.0,9.0,33,0.06060606060606061
Morgan Wallen,Whiskey Glasses,['Morgan Wallen'],27,17.0,85.0,12,5.666666666666667
Morgan Wallen,You Proof,['Morgan Wallen'],62,5.0,6.0,21,0.047619047619047616
Morgan Wallen Featuring Florida Georgia Line,Up Down,"['Morgan Wallen', 'Florida Georgia Line']",20,49.0,86.0,11,3.3636363636363638
Morray,Quicksand,['Morray'],20,65.0,100.0,12,2.9166666666666665
Muni Long,Hrs And Hrs,['Muni Long'],20,16.0,83.0,4,16.75
Muni Long,Made For Me,['Muni Long'],22,20.0,93.0,6,12.166666666666666
Mustard & Roddy Ricch,Ballin',"['Mustard', 'Roddy Ricch']",44,11.0,94.0,24,3.4583333333333335
Myke Towers,LaLa,['Myke Towers'],20,43.0,90.0,4,11.75
Myke Towers & Juhn,Bandido,"['Myke Towers', 'Juhn']",7,82.0,87.0,1,5.0
N*E*R*D & Rihanna,Lemon,"['N*E*R*D', 'Rihanna']",21,36.0,65.0,19,1.5263157894736843
NEIKED X Mae Muller X Polo G,Better Days,"['NEIKED', 'Mae Muller', 'Polo G']",20,23.0,57.0,11,3.090909090909091
NF,Let You Down,['NF'],27,12.0,87.0,15,5.0
NLE Choppa,Shotta Flow,['NLE Choppa'],20,36.0,96.0,12,5.0
NLE Choppa & 2Rare,Do It Again,"['NLE Choppa', '2Rare']",5,85.0,96.0,1,11.0
NLE Choppa & 41,Or What?,"['NLE Choppa', '41']",7,52.0,91.0,1,39.0
NLE Choppa Featuring Roddy Ricch,Walk Em Down,"['NLE Choppa', 'Roddy Ricch']",20,38.0,94.0,12,4.666666666666667
Nardo Wick,Dah Dah DahDah,['Nardo Wick'],11,48.0,89.0,3,13.666666666666666
Nate Smith,Bulletproof,['Nate Smith'],20,37.0,94.0,9,6.333333333333333
Nate Smith,World On Fire,['Nate Smith'],20,21.0,92.0,10,7.1
Nelly Featuring Jeremih,The Fix,"['Nelly', 'Jeremih']",9,62.0,65.0,1,3.0
Nengo Flow & Bad Bunny,Gato de Noche,"['Nengo Flow', 'Bad Bunny']",8,60.0,62.0,1,2.0
Neton Vega,Loco,['Neton Vega'],20,43.0,50.0,3,2.3333333333333335
Neton Vega & Peso Pluma,Morena,"['Neton Vega', 'Peso Pluma']",6,83.0,93.0,1,10.0
NewJeans,Ditto,['NewJeans'],5,82.0,96.0,4,3.5
NewJeans,OMG,['NewJeans'],6,74.0,91.0,3,5.666666666666667
NewJeans,Super Shy,['NewJeans'],8,48.0,66.0,2,9.0
Niall Horan,Slow Hands,['Niall Horan'],31,11.0,90.0,19,4.157894736842105
Niall Horan,This Town,['Niall Horan'],22,20.0,63.0,13,3.3076923076923075
Nick Jonas Featuring Tove Lo,Close,"['Nick Jonas', 'Tove Lo']",20,14.0,27.0,11,1.1818181818181819
Nicki Minaj,FTCU,['Nicki Minaj'],20,15.0,42.0,4,6.75
Nicki Minaj Featuring Ariana Grande,Bed,"['Nicki Minaj', 'Ariana Grande']",10,42.0,43.0,8,0.125
Nicki Minaj Featuring Lil Uzi Vert,Everybody,"['Nicki Minaj', 'Lil Uzi Vert']",20,24.0,26.0,6,0.3333333333333333
Nicky Jam,With You Tonight / Hasta El Amanecer,['Nicky Jam'],19,73.0,98.0,12,2.0833333333333335
Nicky Jam X Ozuna,Te Robare,"['Nicky Jam', 'Ozuna']",6,91.0,95.0,4,1.0
Nicky Jam x J Balvin,X,"['Nicky Jam', 'J Balvin']",21,41.0,80.0,10,3.9
Nipsey Hussle Featuring YG,Last Time That I Checc'd,"['Nipsey Hussle', 'YG']",3,76.0,82.0,1,6.0
Noah Kahan,Stick Season,['Noah Kahan'],52,9.0,80.0,28,2.5357142857142856
O.T. Genasis Featuring Young Dolph,Cut It,"['O.T. Genasis', 'Young Dolph']",20,35.0,94.0,16,3.6875
Offset & Metro Boomin,Ric Flair Drip,"['Offset', 'Metro Boomin']",30,13.0,71.0,19,3.0526315789473686
Old Dominion,Hotel Key,['Old Dominion'],19,48.0,93.0,11,4.090909090909091
Old Dominion,I Was On A Boat That Day,['Old Dominion'],19,37.0,91.0,14,3.857142857142857
Old Dominion,Make It Sweet,['Old Dominion'],20,56.0,98.0,16,2.625
Old Dominion,No Such Thing As A Broken Heart,['Old Dominion'],19,46.0,90.0,13,3.3846153846153846
Old Dominion,One Man Band,['Old Dominion'],28,20.0,91.0,11,6.454545454545454
Old Dominion,Snapback,['Old Dominion'],20,50.0,100.0,11,4.545454545454546
Old Dominion,Song For Another Time,['Old Dominion'],18,59.0,92.0,10,3.3
Old Dominion,Written In The Sand,['Old Dominion'],19,51.0,99.0,10,4.8
Olivia Dean,A Couple Minutes,['Olivia Dean'],8,55.0,87.0,3,10.666666666666666
Olivia Dean,Let Alone The One You Love,['Olivia Dean'],4,95.0,97.0,1,2.0
Olivia Dean,Man I Need,['Olivia Dean'],17,4.0,82.0,11,7.090909090909091
Olivia Dean,So Easy (To Fall In Love),['Olivia Dean'],12,18.0,98.0,7,11.428571428571429
Olivia Rodrigo,Deja Vu,['Olivia Rodrigo'],29,3.0,8.0,7,0.7142857142857143
Olivia Rodrigo,Favorite Crime,['Olivia Rodrigo'],13,16.0,18.0,1,2.0
Omar Apollo,Evergreen,['Omar Apollo'],7,51.0,62.0,2,5.5
One Direction,Perfect,['One Direction'],12,26.0,32.0,2,3.0
OneRepublic,Wherever I Go,['OneRepublic'],12,55.0,67.0,8,1.5
Oscar Ortiz X Edgardo Nunez,First Love,"['Oscar Ortiz', 'Edgardo Nunez']",3,91.0,94.0,1,3.0
Ozuna & Romeo Santos,El Farsante,"['Ozuna', 'Romeo Santos']",20,49.0,92.0,1,43.0
Ozuna Featuring Feid,Hey Mor,"['Ozuna', 'Feid']",4,85.0,96.0,2,5.5
Ozuna x Karol G x Myke Towers,Caramelo,"['Ozuna', 'Karol G', 'Myke Towers']",10,76.0,92.0,3,5.333333333333333
Ozzy Osbourne,Crazy Train,['Ozzy Osbourne'],2,39.0,46.0,1,7.0
Ozzy Osbourne,"Mama, I'm Coming Home",['Ozzy Osbourne'],2,48.0,49.0,1,1.0
P!nk,Just Like Fire,['P!nk'],26,10.0,42.0,6,5.333333333333333
P!nk,What About Us,['P!nk'],21,13.0,82.0,10,6.9
PARTYNEXTDOOR,Not Nice,['PARTYNEXTDOOR'],7,82.0,95.0,3,4.333333333333333
PLUTO & YKNIECE,Whim Whamiee,"['PLUTO', 'YKNIECE']",16,51.0,92.0,6,6.833333333333333
Panic! At The Disco,"Hey Look Ma, I Made It",['Panic! At The Disco'],22,16.0,96.0,13,6.153846153846154
Parker McCollum,Burn It Down,['Parker McCollum'],25,42.0,77.0,21,1.6666666666666667
Parker McCollum,Handle On You,['Parker McCollum'],20,30.0,69.0,17,2.2941176470588234
Parmalee,Cowgirl,['Parmalee'],3,84.0,85.0,2,0.5
Parmalee,Take My Name,['Parmalee'],20,22.0,88.0,9,7.333333333333333
Parmalee x Blanco Brown,Just The Way,"['Parmalee', 'Blanco Brown']",20,31.0,97.0,10,6.6
Paul Russell,Lil Boo Thang,['Paul Russell'],21,14.0,99.0,15,5.666666666666667
Pentatonix,Hallelujah,['Pentatonix'],11,23.0,32.0,8,1.125
Peso Pluma,Bye,['Peso Pluma'],9,48.0,53.0,4,1.25
Peso Pluma,Por Las Noches,['Peso Pluma'],20,28.0,92.0,6,10.666666666666666
Peso Pluma & Anitta,Bellakeo,"['Peso Pluma', 'Anitta']",14,53.0,71.0,5,3.6
Pierce the Veil,So Far So Fake,['Pierce the Veil'],6,64.0,88.0,2,12.0
PinkPantheress & Ice Spice,"Boy's A Liar, Pt. 2","['PinkPantheress', 'Ice Spice']",22,3.0,14.0,2,5.5
Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Dame Tu Cosita,"['Pitbull', 'El Chombo', 'Karol G', 'Cutty Ranks']",9,36.0,81.0,2,22.5
Playboi Carti,Magnolia,['Playboi Carti'],20,29.0,91.0,7,8.857142857142858
PnB Rock,Selfish,['PnB Rock'],19,51.0,87.0,7,5.142857142857143
Polo G Featuring Lil Tjay,Pop Out,"['Polo G', 'Lil Tjay']",27,11.0,95.0,11,7.636363636363637
Pooh Shiesty Featuring Lil Durk,Back In Blood,"['Pooh Shiesty', 'Lil Durk']",23,13.0,93.0,7,11.428571428571429
Pop Smoke,Dior,['Pop Smoke'],21,22.0,49.0,20,1.35
Pop Smoke Featuring Lil Tjay,Mood Swings,"['Pop Smoke', 'Lil Tjay']",20,17.0,44.0,5,5.4
Popp Hunna,Adderall (Corvette Corvette),['Popp Hunna'],6,74.0,84.0,1,10.0
Portugal. The Man,Feel It Still,['Portugal. The Man'],44,4.0,89.0,17,5.0
Post Malone,Better Now,['Post Malone'],52,3.0,7.0,21,0.19047619047619047
Post Malone,Circles,['Post Malone'],61,1.0,7.0,11,0.5454545454545454
Post Malone,I Fall Apart,['Post Malone'],29,16.0,65.0,12,4.083333333333333
