artist,title,artist_list,total_weeks,peak_rank,debut_rank,end_rank,peak_week,decay_rate,post_peak_length
$uicideboy$,Napoleon,['$uicideboy$'],3,54.0,54.0,100.0,0,-23.0,2
2 Chainz,Watch Out,['2 Chainz'],11,64.0,85.0,91.0,4,-4.5,6
2 Chainz Featuring Travis Scott,4 AM,"['2 Chainz', 'Travis Scott']",12,55.0,73.0,95.0,2,-4.444444444444445,9
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",It's A Vibe,"['2 Chainz', 'Ty Dolla $ign', 'Trey Songz', 'Jhene Aiko']",20,44.0,95.0,79.0,10,-3.888888888888889,9
2 Chainz Featuring YG & Offset,Proud,"['2 Chainz', 'YG', 'Offset']",2,96.0,96.0,99.0,0,-3.0,1
"2 Chainz, Drake & Quavo",Bigger > You,"['2 Chainz', 'Drake', 'Quavo']",2,53.0,53.0,60.0,0,-7.0,1
21 Savage,3AM On Glenwood,['21 Savage'],2,27.0,27.0,95.0,0,-68.0,1
21 Savage,A Lot,['21 Savage'],23,12.0,37.0,49.0,6,-2.3125,16
21 Savage,All My Friends,['21 Savage'],2,67.0,67.0,97.0,0,-30.0,1
21 Savage,All Of Me,['21 Savage'],4,18.0,18.0,88.0,0,-23.333333333333332,3
21 Savage,Bank Account,['21 Savage'],28,12.0,33.0,47.0,4,-1.5217391304347827,23
21 Savage,Can't Leave Without It,['21 Savage'],4,58.0,58.0,93.0,0,-11.666666666666666,3
21 Savage,Immortal,['21 Savage'],2,55.0,55.0,100.0,0,-45.0,1
21 Savage,Monster,['21 Savage'],3,73.0,73.0,90.0,0,-8.5,2
21 Savage,Red Opps,['21 Savage'],5,74.0,92.0,78.0,3,-4.0,1
21 Savage,Redrum,['21 Savage'],20,5.0,5.0,56.0,0,-2.6842105263157894,19
21 Savage,Sneaky,['21 Savage'],3,33.0,33.0,95.0,0,-31.0,2
21 Savage & Brent Faiyaz,Should've Wore A Bonnet,"['21 Savage', 'Brent Faiyaz']",4,40.0,40.0,90.0,0,-16.666666666666668,3
21 Savage & Doja Cat,N.H.I.E.,"['21 Savage', 'Doja Cat']",4,19.0,19.0,89.0,0,-23.333333333333332,3
21 Savage & Metro Boomin,Glock In My Lap,"['21 Savage', 'Metro Boomin']",3,19.0,19.0,82.0,0,-31.5,2
21 Savage & Metro Boomin,Many Men,"['21 Savage', 'Metro Boomin']",2,33.0,33.0,94.0,0,-61.0,1
21 Savage & Metro Boomin,No Heart,"['21 Savage', 'Metro Boomin']",19,43.0,85.0,77.0,9,-3.7777777777777777,9
21 Savage & Metro Boomin,Runnin,"['21 Savage', 'Metro Boomin']",7,9.0,9.0,91.0,0,-13.666666666666666,6
21 Savage & Metro Boomin,Slidin,"['21 Savage', 'Metro Boomin']",2,32.0,32.0,88.0,0,-56.0,1
21 Savage & Metro Boomin Featuring Drake,Mr. Right Now,"['21 Savage', 'Metro Boomin', 'Drake']",18,10.0,10.0,100.0,0,-5.294117647058823,17
21 Savage & Metro Boomin Featuring Future,X,"['21 Savage', 'Metro Boomin', 'Future']",21,36.0,98.0,49.0,9,-1.1818181818181819,11
21 Savage & Metro Boomin Featuring Young Thug,Rich N*gga Sh*t,"['21 Savage', 'Metro Boomin', 'Young Thug']",2,26.0,26.0,74.0,0,-48.0,1
"21 Savage, Lil Durk & Metro Boomin",Dangerous,"['21 Savage', 'Lil Durk', 'Metro Boomin']",2,35.0,35.0,76.0,0,-41.0,1
"21 Savage, Offset & Metro Boomin Featuring Quavo",Rap Saved Me,"['21 Savage', 'Offset', 'Metro Boomin', 'Quavo']",3,64.0,74.0,88.0,1,-24.0,1
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers,"['21 Savage', 'Offset', 'Metro Boomin', 'Travis Scott']",7,35.0,57.0,90.0,1,-11.0,5
"21 Savage, Tommy Newport & Mikky Ekko",Red Sky,"['21 Savage', 'Tommy Newport', 'Mikky Ekko']",2,57.0,57.0,100.0,0,-43.0,1
"21 Savage, Travis Scott & Metro Boomin",Nee-nah,"['21 Savage', 'Travis Scott', 'Metro Boomin']",10,10.0,10.0,89.0,0,-8.777777777777779,9
"21 Savage, Young Thug & Metro Boomin",Pop Ur Sht,"['21 Savage', 'Young Thug', 'Metro Boomin']",2,31.0,31.0,80.0,0,-49.0,1
24kGoldn Featuring iann dior,Mood,"['24kGoldn', 'iann dior']",52,1.0,84.0,48.0,9,-1.119047619047619,42
4*TOWN (From Disney And Pixar's Turning Red),Nobody Like U,"[""4*TOWN (From Disney And Pixar's Turning Red)""]",5,49.0,50.0,79.0,1,-10.0,3
4batz Featuring Drake,Act II: Date @ 8,"['4batz', 'Drake']",20,7.0,77.0,63.0,9,-5.6,10
5 Seconds of Summer,Complete Mess,['5 Seconds of Summer'],3,85.0,91.0,85.0,1,-0.0,1
5 Seconds of Summer,Easier,['5 Seconds of Summer'],16,48.0,48.0,90.0,0,-2.8,15
5 Seconds of Summer,Youngblood,['5 Seconds of Summer'],48,7.0,96.0,50.0,18,-1.4827586206896552,29
6ix9ine,Billy,['6ix9ine'],8,50.0,60.0,91.0,2,-8.2,5
6ix9ine,Gooba,['6ix9ine'],10,3.0,3.0,100.0,0,-10.777777777777779,9
6ix9ine,Gummo,['6ix9ine'],19,12.0,58.0,56.0,4,-3.142857142857143,14
6ix9ine & Nicki Minaj,Trollz,"['6ix9ine', 'Nicki Minaj']",4,1.0,1.0,83.0,0,-27.333333333333332,3
6ix9ine Featuring A Boogie wit da Hoodie,WAKA,"['6ix9ine', 'A Boogie wit da Hoodie']",3,51.0,71.0,78.0,1,-27.0,1
6ix9ine Featuring Bobby Shmurda,STOOPID,"['6ix9ine', 'Bobby Shmurda']",9,25.0,25.0,89.0,0,-8.0,8
6ix9ine Featuring DJ SPINKING,TATI,"['6ix9ine', 'DJ SPINKING']",5,46.0,46.0,72.0,0,-6.5,4
6ix9ine Featuring Lil Baby,TIC TOC,"['6ix9ine', 'Lil Baby']",3,53.0,62.0,91.0,1,-38.0,1
6ix9ine Featuring Nicki Minaj & Kanye West,MAMA,"['6ix9ine', 'Nicki Minaj', 'Kanye West']",4,43.0,58.0,100.0,1,-28.5,2
6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,"['6ix9ine', 'Nicki Minaj', 'Murda Beatz']",20,3.0,4.0,52.0,1,-2.7222222222222223,18
"6ix9ine, Fetty Wap & A Boogie wit da Hoodie",KEKE,"['6ix9ine', 'Fetty Wap', 'A Boogie wit da Hoodie']",8,43.0,64.0,90.0,1,-7.833333333333333,6
A Boogie wit da Hoodie,King Of My City,['A Boogie wit da Hoodie'],3,69.0,69.0,91.0,0,-11.0,2
A Boogie wit da Hoodie,Look Back At It,['A Boogie wit da Hoodie'],31,27.0,95.0,46.0,21,-2.111111111111111,9
A Boogie wit da Hoodie,Me And My Guitar,['A Boogie wit da Hoodie'],2,58.0,58.0,97.0,0,-39.0,1
A Boogie wit da Hoodie,No Promises,['A Boogie wit da Hoodie'],2,74.0,74.0,93.0,0,-19.0,1
A Boogie wit da Hoodie,Say A',['A Boogie wit da Hoodie'],2,75.0,75.0,94.0,0,-19.0,1
A Boogie wit da Hoodie Featuring 6ix9ine,Swervin,"['A Boogie wit da Hoodie', '6ix9ine']",20,38.0,57.0,63.0,1,-1.3888888888888888,18
A Boogie wit da Hoodie Featuring Juice WRLD,Demons And Angels,"['A Boogie wit da Hoodie', 'Juice WRLD']",3,90.0,94.0,95.0,1,-5.0,1
A Boogie wit da Hoodie Featuring Kodak Black,Drowning,"['A Boogie wit da Hoodie', 'Kodak Black']",21,38.0,94.0,46.0,15,-1.6,5
A Boogie wit da Hoodie Featuring Lil Uzi Vert,Reply,"['A Boogie wit da Hoodie', 'Lil Uzi Vert']",2,49.0,49.0,85.0,0,-36.0,1
A Boogie wit da Hoodie Featuring Offset & Tyga,Startender,"['A Boogie wit da Hoodie', 'Offset', 'Tyga']",9,59.0,65.0,99.0,2,-6.666666666666667,6
"A Boogie wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",Numbers,"['A Boogie wit da Hoodie', 'Roddy Ricch', 'Gunna', 'London On Da Track']",3,23.0,23.0,76.0,0,-26.5,2
A$AP Ferg Featuring  Nicki Minaj & MadeinTYO,Move Ya Hips,"['A$AP Ferg', 'Nicki Minaj', 'MadeinTYO']",2,19.0,19.0,99.0,0,-80.0,1
A$AP Ferg Featuring Nicki Minaj,Plain Jane,"['A$AP Ferg', 'Nicki Minaj']",24,27.0,98.0,47.0,15,-2.5,8
AJR,Way Less Sad,['AJR'],15,54.0,99.0,81.0,10,-6.75,4
Acraze Featuring Cherish,Do It To It,"['Acraze', 'Cherish']",12,65.0,97.0,95.0,2,-3.3333333333333335,9
Addison Rae,Fame Is A Gun,['Addison Rae'],3,73.0,94.0,95.0,1,-22.0,1
Adele,Can I Get It,['Adele'],2,26.0,26.0,74.0,0,-48.0,1
Adele,Easy On Me,['Adele'],31,1.0,68.0,46.0,1,-1.5517241379310345,29
Adele,Hello,['Adele'],19,1.0,1.0,36.0,0,-1.9444444444444444,18
Adele,I Drink Wine,['Adele'],2,18.0,18.0,76.0,0,-58.0,1
Adele,My Little Love,['Adele'],2,23.0,23.0,67.0,0,-44.0,1
Adele,Oh My God,['Adele'],16,5.0,5.0,84.0,0,-5.266666666666667,15
Adele,Send My Love (To Your New Lover),['Adele'],26,8.0,26.0,39.0,15,-3.1,10
Adele,Water Under The Bridge,['Adele'],21,26.0,94.0,47.0,10,-2.1,10
Adele,When We Were Young,['Adele'],17,14.0,55.0,70.0,9,-8.0,7
Alessia Cara,Growing Pains,['Alessia Cara'],8,65.0,99.0,92.0,2,-5.4,5
Alessia Cara,Here,['Alessia Cara'],15,5.0,8.0,47.0,5,-4.666666666666667,9
Alessia Cara,Scars To Your Beautiful,['Alessia Cara'],43,8.0,95.0,45.0,23,-1.9473684210526316,19
Alessia Cara,Wild Things,['Alessia Cara'],20,50.0,91.0,77.0,13,-4.5,6
Alex Warren,Ordinary,['Alex Warren'],45,1.0,61.0,15.0,15,-0.4827586206896552,29
Alex Warren & ROSE,On My Mind,"['Alex Warren', 'ROSE']",2,60.0,60.0,76.0,0,-16.0,1
Ali Gatie,It's You,['Ali Gatie'],15,70.0,97.0,94.0,1,-1.8461538461538463,13
Alice Merton,No Roots,['Alice Merton'],3,84.0,100.0,96.0,1,-12.0,1
All Time Low Featuring Demi Lovato & Blackbear,Monsters,"['All Time Low', 'Demi Lovato', 'Blackbear']",17,55.0,88.0,98.0,8,-5.375,8
Amaarae & Moliy Featuring Kali Uchis,Sad Girlz Luv Money,"['Amaarae', 'Moliy', 'Kali Uchis']",3,80.0,80.0,81.0,0,-0.5,2
Ambjaay,Uno,['Ambjaay'],3,82.0,82.0,94.0,0,-6.0,2
Amine,Caroline,['Amine'],28,11.0,96.0,49.0,15,-3.1666666666666665,12
Andy Grammer,Fresh Eyes,['Andy Grammer'],18,59.0,97.0,91.0,7,-3.2,10
Andy Grammer,Good To Be Alive (Hallelujah),['Andy Grammer'],10,62.0,86.0,90.0,2,-4.0,7
Anitta,Envolver,['Anitta'],6,70.0,74.0,92.0,1,-5.5,4
AnnenMayKantereit & Giant Rooks,Tom's Diner,"['AnnenMayKantereit', 'Giant Rooks']",3,78.0,84.0,92.0,1,-14.0,1
Ant Saunders,Yellow Hearts,['Ant Saunders'],8,81.0,81.0,92.0,0,-1.5714285714285714,7
Anuel AA & Romeo Santos,Ella Quiere Beber,"['Anuel AA', 'Romeo Santos']",20,61.0,86.0,83.0,11,-2.75,8
Ari Lennox,Pressure,['Ari Lennox'],17,66.0,94.0,90.0,6,-2.4,10
Ariana Grande,7 Rings,['Ariana Grande'],33,1.0,1.0,40.0,0,-1.21875,32
Ariana Grande,Bad Idea,['Ariana Grande'],3,27.0,27.0,90.0,0,-31.5,2
Ariana Grande,Bloodline,['Ariana Grande'],3,22.0,22.0,93.0,0,-35.5,2
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",['Ariana Grande'],20,2.0,2.0,49.0,0,-2.473684210526316,19
Ariana Grande,Breathin,['Ariana Grande'],25,12.0,22.0,35.0,15,-2.5555555555555554,9
Ariana Grande,Bye,['Ariana Grande'],3,25.0,25.0,86.0,0,-30.5,2
Ariana Grande,Dandelion,['Ariana Grande'],3,38.0,38.0,100.0,0,-31.0,2
Ariana Grande,Dangerous Woman,['Ariana Grande'],21,8.0,10.0,48.0,10,-4.0,10
Ariana Grande,Don't Wanna Break Up Again,['Ariana Grande'],2,28.0,28.0,68.0,0,-40.0,1
Ariana Grande,Eternal Sunshine,['Ariana Grande'],3,23.0,23.0,87.0,0,-32.0,2
Ariana Grande,Fake Smile,['Ariana Grande'],2,26.0,26.0,57.0,0,-31.0,1
Ariana Grande,Focus,['Ariana Grande'],7,33.0,33.0,89.0,0,-9.333333333333334,6
Ariana Grande,Ghostin,['Ariana Grande'],2,25.0,25.0,62.0,0,-37.0,1
Ariana Grande,God Is A Woman,['Ariana Grande'],22,8.0,11.0,50.0,5,-2.625,16
Ariana Grande,I Wish I Hated You,['Ariana Grande'],2,39.0,39.0,85.0,0,-46.0,1
Ariana Grande,Imperfect For You,['Ariana Grande'],2,37.0,37.0,72.0,0,-35.0,1
Ariana Grande,In My Head,['Ariana Grande'],2,38.0,38.0,74.0,0,-36.0,1
Ariana Grande,Just Like Magic,['Ariana Grande'],2,43.0,43.0,98.0,0,-55.0,1
Ariana Grande,Make Up,['Ariana Grande'],2,48.0,48.0,95.0,0,-47.0,1
Ariana Grande,NASA,['Ariana Grande'],3,17.0,17.0,68.0,0,-25.5,2
Ariana Grande,Needy,['Ariana Grande'],4,14.0,14.0,92.0,0,-26.0,3
Ariana Grande,No Tears Left To Cry,['Ariana Grande'],27,3.0,3.0,50.0,0,-1.8076923076923077,26
Ariana Grande,Popular,['Ariana Grande'],9,53.0,53.0,94.0,0,-5.125,8
Ariana Grande,Positions,['Ariana Grande'],29,1.0,1.0,37.0,0,-1.2857142857142858,28
Ariana Grande,Supernatural,['Ariana Grande'],3,17.0,17.0,80.0,0,-31.5,2
Ariana Grande,"Thank U, Next",['Ariana Grande'],28,1.0,1.0,49.0,0,-1.7777777777777777,27
Ariana Grande,True Story,['Ariana Grande'],2,30.0,30.0,66.0,0,-36.0,1
Ariana Grande,We Can't Be Friends (Wait For Your Love),['Ariana Grande'],24,1.0,1.0,47.0,0,-2.0,23
Ariana Grande,"Yes, And?",['Ariana Grande'],13,1.0,1.0,89.0,0,-7.333333333333333,12
Ariana Grande & Justin Bieber,Stuck With U,"['Ariana Grande', 'Justin Bieber']",18,1.0,1.0,100.0,0,-5.823529411764706,17
Ariana Grande & Social House,Boyfriend,"['Ariana Grande', 'Social House']",12,8.0,8.0,99.0,0,-8.272727272727273,11
Ariana Grande Feat. Doja Cat & Megan Thee Stallion,34+35,"['Ariana Grande', 'Doja Cat', 'Megan Thee Stallion']",28,2.0,8.0,36.0,11,-2.125,16
"Ariana Grande Featuring Andy Nyman, Courtney-Mae Briggs, Jeff Goldblum, Sharon D. Clarke & Jenna Boyd",No One Mourns The Wicked,"['Ariana Grande', 'Andy Nyman', 'Courtney-Mae Briggs', 'Jeff Goldblum', 'Sharon D. Clarke', 'Jenna Boyd']",2,86.0,86.0,87.0,0,-1.0,1
Ariana Grande Featuring Doja Cat,Motive,"['Ariana Grande', 'Doja Cat']",2,32.0,32.0,80.0,0,-48.0,1
Ariana Grande Featuring Future,Everyday,"['Ariana Grande', 'Future']",7,55.0,85.0,94.0,4,-19.5,2
Ariana Grande Featuring Nicki Minaj,Side To Side,"['Ariana Grande', 'Nicki Minaj']",28,4.0,31.0,50.0,11,-2.875,16
Ariana Grande Featuring The Weeknd,Off The Table,"['Ariana Grande', 'The Weeknd']",2,35.0,35.0,95.0,0,-60.0,1
"Ariana Grande, Miley Cyrus & Lana Del Rey",Don't Call Me Angel (Charlie's Angels),"['Ariana Grande', 'Miley Cyrus', 'Lana Del Rey']",7,13.0,13.0,98.0,0,-14.166666666666666,6
Arizona Zervas,Roxanne,['Arizona Zervas'],26,4.0,34.0,33.0,6,-1.5263157894736843,19
Artemas,I Like The Way You Kiss Me,['Artemas'],20,12.0,70.0,74.0,3,-3.875,16
"Artists Of Then, Now & Forever",Forever Country,"['Artists Of Then, Now & Forever']",4,21.0,21.0,97.0,0,-25.333333333333332,3
Ashley McBryde,One Night Standards,['Ashley McBryde'],15,76.0,93.0,90.0,9,-2.8,5
Ava Max,Kings & Queens,['Ava Max'],27,13.0,73.0,48.0,14,-2.9166666666666665,12
Ava Max,My Head And My Heart,['Ava Max'],12,45.0,82.0,88.0,3,-5.375,8
Ava Max,Sweet But Psycho,['Ava Max'],35,10.0,87.0,42.0,22,-2.6666666666666665,12
Avril Lavigne,Head Above Water,['Avril Lavigne'],2,64.0,64.0,93.0,0,-29.0,1
Ayo & Teo,Rolex,"['Ayo', 'Teo']",25,20.0,87.0,49.0,15,-3.2222222222222223,9
BENEE Featuring Gus Dapperton,Supalonely,"['BENEE', 'Gus Dapperton']",22,39.0,88.0,51.0,8,-0.9230769230769231,13
BLACKPINK,How You Like That,['BLACKPINK'],2,33.0,33.0,91.0,0,-58.0,1
BLACKPINK,Jump,['BLACKPINK'],10,28.0,28.0,95.0,0,-7.444444444444445,9
BLACKPINK,Kill This Love,['BLACKPINK'],4,41.0,41.0,100.0,0,-19.666666666666668,3
BLACKPINK,Pink Venom,['BLACKPINK'],6,22.0,22.0,87.0,0,-13.0,5
BLACKPINK,Shut Down,['BLACKPINK'],3,25.0,25.0,88.0,0,-31.5,2
BLACKPINK X Selena Gomez,Ice Cream,"['BLACKPINK', 'Selena Gomez']",8,13.0,13.0,84.0,0,-10.142857142857142,7
BRELAND,My Truck,['BRELAND'],2,92.0,92.0,97.0,0,-5.0,1
BRS Kash,Throat Baby (Go Baby),['BRS Kash'],22,24.0,93.0,50.0,14,-3.7142857142857144,7
BTS,Butter,['BTS'],20,1.0,1.0,58.0,0,-3.0,19
BTS,DNA,['BTS'],4,67.0,85.0,98.0,1,-15.5,2
BTS,Dynamite,['BTS'],32,1.0,1.0,30.0,0,-0.9354838709677419,31
BTS,Fake Love,['BTS'],6,10.0,10.0,76.0,0,-13.2,5
BTS,Life Goes On,['BTS'],3,1.0,1.0,93.0,0,-46.0,2
BTS,ON,['BTS'],2,4.0,4.0,68.0,0,-64.0,1
BTS,Permission To Dance,['BTS'],7,1.0,1.0,97.0,0,-16.0,6
BTS,Yet To Come,['BTS'],2,13.0,13.0,68.0,0,-55.0,1
BTS Featuring Desiigner,MIC Drop,"['BTS', 'Desiigner']",9,28.0,28.0,98.0,0,-8.75,8
BTS Featuring Halsey,Boy With Luv,"['BTS', 'Halsey']",8,8.0,8.0,90.0,0,-11.714285714285714,7
BTS Featuring Nicki Minaj,IDOL,"['BTS', 'Nicki Minaj']",3,11.0,11.0,92.0,0,-40.5,2
Baby Keem & Kendrick Lamar,Family Ties,"['Baby Keem', 'Kendrick Lamar']",19,18.0,18.0,81.0,0,-3.5,18
Bad Bunny,Aguacero,['Bad Bunny'],3,44.0,44.0,94.0,0,-25.0,2
Bad Bunny,Baby Nueva,['Bad Bunny'],2,34.0,34.0,74.0,0,-40.0,1
Bad Bunny,Baile Inolvidable,['Bad Bunny'],20,3.0,28.0,94.0,1,-5.055555555555555,18
Bad Bunny,Bokete,['Bad Bunny'],4,42.0,69.0,80.0,1,-19.0,2
Bad Bunny,Cybertruck,['Bad Bunny'],2,30.0,30.0,82.0,0,-52.0,1
Bad Bunny,DTMF,['Bad Bunny'],20,2.0,38.0,66.0,1,-3.5555555555555554,18
Bad Bunny,Despues de La Playa,['Bad Bunny'],20,6.0,6.0,81.0,0,-3.9473684210526314,19
Bad Bunny,Dos Mil 16,['Bad Bunny'],3,45.0,45.0,98.0,0,-26.5,2
Bad Bunny,Efecto,['Bad Bunny'],22,34.0,34.0,49.0,0,-0.7142857142857143,21
Bad Bunny,El Apagon,['Bad Bunny'],2,54.0,54.0,89.0,0,-35.0,1
Bad Bunny,Ensename A Bailar,['Bad Bunny'],2,60.0,60.0,99.0,0,-39.0,1
Bad Bunny,Ketu Tecre,['Bad Bunny'],4,38.0,59.0,69.0,1,-15.5,2
Bad Bunny,Kloufrens,['Bad Bunny'],5,40.0,66.0,93.0,1,-17.666666666666668,3
Bad Bunny,La Dificil,['Bad Bunny'],5,33.0,33.0,87.0,0,-13.5,4
Bad Bunny,La Mudanza,['Bad Bunny'],4,51.0,95.0,92.0,1,-20.5,2
Bad Bunny,Lo Que Le Paso A Hawaii,['Bad Bunny'],3,62.0,94.0,73.0,1,-11.0,1
Bad Bunny,Me Fui de Vacaciones,['Bad Bunny'],2,59.0,59.0,97.0,0,-38.0,1
Bad Bunny,Monaco,['Bad Bunny'],20,5.0,5.0,94.0,0,-4.684210526315789,19
Bad Bunny,Moscow Mule,['Bad Bunny'],23,4.0,4.0,43.0,0,-1.7727272727272727,22
Bad Bunny,Mr. October,['Bad Bunny'],2,28.0,28.0,73.0,0,-45.0,1
Bad Bunny,Pitorro de Coco,['Bad Bunny'],5,50.0,91.0,94.0,2,-22.0,2
Bad Bunny,Si Veo A Tu Mama,['Bad Bunny'],5,32.0,32.0,89.0,0,-14.25,4
Bad Bunny,Te Mudaste,['Bad Bunny'],2,60.0,60.0,99.0,0,-39.0,1
Bad Bunny,Titi Me Pregunto,['Bad Bunny'],30,5.0,5.0,44.0,0,-1.3448275862068966,29
Bad Bunny,Turista,['Bad Bunny'],4,45.0,77.0,82.0,1,-18.5,2
Bad Bunny,Un Coco,['Bad Bunny'],3,56.0,56.0,95.0,0,-19.5,2
Bad Bunny,Un Preview,['Bad Bunny'],7,43.0,65.0,93.0,1,-10.0,5
Bad Bunny,Un Ratito,['Bad Bunny'],16,16.0,16.0,89.0,0,-4.866666666666666,15
Bad Bunny,Yo No Soy Celoso,['Bad Bunny'],6,22.0,22.0,87.0,0,-13.0,5
Bad Bunny,Yonaguni,['Bad Bunny'],20,10.0,10.0,79.0,0,-3.6315789473684212,19
Bad Bunny & Bomba Estereo,Ojitos Lindos,"['Bad Bunny', 'Bomba Estereo']",20,26.0,26.0,70.0,0,-2.3157894736842106,19
Bad Bunny & Bryant Myers,Seda,"['Bad Bunny', 'Bryant Myers']",2,38.0,38.0,90.0,0,-52.0,1
Bad Bunny & Buscabulla,Andrea,"['Bad Bunny', 'Buscabulla']",4,51.0,51.0,95.0,0,-14.666666666666666,3
Bad Bunny & Chencho Corleone,Me Porto Bonito,"['Bad Bunny', 'Chencho Corleone']",26,6.0,10.0,41.0,9,-2.1875,16
Bad Bunny & Chuwi,Weltita,"['Bad Bunny', 'Chuwi']",6,32.0,52.0,100.0,1,-17.0,4
Bad Bunny & Jhay Cortez,Dakiti,"['Bad Bunny', 'Jhay Cortez']",28,5.0,9.0,43.0,4,-1.6521739130434783,23
Bad Bunny & Jhay Cortez,Tarot,"['Bad Bunny', 'Jhay Cortez']",20,18.0,18.0,89.0,0,-3.736842105263158,19
Bad Bunny & Los Pleneros de La Cresta,Cafe Con Ron,"['Bad Bunny', 'Los Pleneros de La Cresta']",4,48.0,83.0,78.0,1,-15.0,2
Bad Bunny & Luar La L,Telefono Nuevo,"['Bad Bunny', 'Luar La L']",2,32.0,32.0,88.0,0,-56.0,1
Bad Bunny & Mora,Hibiki,"['Bad Bunny', 'Mora']",2,24.0,24.0,72.0,0,-48.0,1
Bad Bunny & RaiNao,Perfumito Nuevo,"['Bad Bunny', 'RaiNao']",5,31.0,45.0,94.0,1,-21.0,3
Bad Bunny & Rauw Alejandro,Party,"['Bad Bunny', 'Rauw Alejandro']",20,14.0,14.0,67.0,0,-2.789473684210526,19
Bad Bunny & Tainy,Callaita,"['Bad Bunny', 'Tainy']",20,52.0,69.0,89.0,7,-3.0833333333333335,12
Bad Bunny & The Marias,Otro Atardecer,"['Bad Bunny', 'The Marias']",3,49.0,49.0,96.0,0,-23.5,2
Bad Bunny & Young Miko,Fina,"['Bad Bunny', 'Young Miko']",4,14.0,14.0,87.0,0,-24.333333333333332,3
Bad Bunny Featuring Drake,MIA,"['Bad Bunny', 'Drake']",27,5.0,5.0,45.0,0,-1.5384615384615385,26
Bad Bunny X Daddy Yankee,La Santa,"['Bad Bunny', 'Daddy Yankee']",2,53.0,53.0,92.0,0,-39.0,1
"Bad Bunny, Omar Courtz & Dei V",Velda,"['Bad Bunny', 'Omar Courtz', 'Dei V']",7,23.0,43.0,99.0,1,-15.2,5
Bailey Zimmerman,Religiously,['Bailey Zimmerman'],25,13.0,66.0,23.0,20,-2.5,4
Bailey Zimmerman,Rock And A Hard Place,['Bailey Zimmerman'],54,10.0,24.0,23.0,40,-1.0,13
Bailey Zimmerman & Luke Combs,Backup Plan,"['Bailey Zimmerman', 'Luke Combs']",20,30.0,36.0,60.0,16,-10.0,3
Bakar Featuring Summer Walker,Hell N Back,"['Bakar', 'Summer Walker']",12,53.0,73.0,93.0,1,-4.0,10
Bazzi,Mine,['Bazzi'],34,11.0,56.0,46.0,9,-1.4583333333333333,24
Bazzi Featuring Camila Cabello,Beautiful,"['Bazzi', 'Camila Cabello']",27,26.0,60.0,47.0,23,-7.0,3
Bebe Rexha,I Got You,['Bebe Rexha'],11,43.0,94.0,82.0,6,-9.75,4
Bebe Rexha,I'm A Mess,['Bebe Rexha'],20,35.0,92.0,78.0,16,-14.333333333333334,3
Bebe Rexha & Florida Georgia Line,Meant To Be,"['Bebe Rexha', 'Florida Georgia Line']",51,2.0,61.0,31.0,20,-0.9666666666666667,30
Becky G & Peso Pluma,Chanel,"['Becky G', 'Peso Pluma']",10,55.0,88.0,95.0,3,-6.666666666666667,6
Becky G X Karol G,MAMIII,"['Becky G', 'Karol G']",20,15.0,15.0,52.0,0,-1.9473684210526316,19
Bella Poarch,Build A Bitch,['Bella Poarch'],12,56.0,58.0,92.0,2,-4.0,9
Belly Featuring The Weeknd,Might Not,"['Belly', 'The Weeknd']",17,68.0,100.0,96.0,7,-3.111111111111111,9
Ben Rector,Brand New,['Ben Rector'],5,82.0,94.0,87.0,1,-1.6666666666666667,3
Benny Blanco & Juice WRLD Featuring Brendon Urie,Roses,"['Benny Blanco', 'Juice WRLD', 'Brendon Urie']",6,85.0,95.0,88.0,4,-3.0,1
"Benny Blanco, BTS & Snoop Dogg",Bad Decisions,"['Benny Blanco', 'BTS', 'Snoop Dogg']",5,10.0,10.0,90.0,0,-20.0,4
"Benny Blanco, Halsey & Khalid",Eastside,"['Benny Blanco', 'Halsey', 'Khalid']",52,9.0,56.0,37.0,25,-1.0769230769230769,26
"Benny Blanco, Tainy, Selena Gomez & J Balvin",I Can't Get Enough,"['Benny Blanco', 'Tainy', 'Selena Gomez', 'J Balvin']",5,66.0,93.0,91.0,2,-12.5,2
Benson Boone,Cry,['Benson Boone'],4,60.0,60.0,95.0,0,-11.666666666666666,3
Benson Boone,Mystical Magical,['Benson Boone'],27,17.0,40.0,26.0,9,-0.5294117647058824,17
Benson Boone,Pretty Slowly,['Benson Boone'],3,86.0,91.0,93.0,1,-7.0,1
Benson Boone,Slow It Down,['Benson Boone'],29,32.0,45.0,46.0,24,-3.5,4
Benson Boone,Sorry I'm Here For Someone Else,['Benson Boone'],32,19.0,44.0,46.0,16,-1.8,15
Beyonce,Alien Superstar,['Beyonce'],5,19.0,19.0,90.0,0,-17.75,4
Beyonce,All Night,['Beyonce'],2,38.0,38.0,64.0,0,-26.0,1
Beyonce,Before I Let Go,['Beyonce'],16,65.0,75.0,100.0,1,-2.5,14
Beyonce,Black Parade,['Beyonce'],2,37.0,37.0,71.0,0,-34.0,1
Beyonce,Bodyguard,['Beyonce'],2,26.0,26.0,70.0,0,-44.0,1
